trip_id,service_date,route_id,origin_stop_id,scheduled_departure,observed_departure,destination_stop_id,scheduled_arrival,observed_arrival,scheduled_departure_sec,observed_departure_sec,scheduled_arrival_sec,observed_arrival_sec,scheduled_travel_min,observed_travel_min,arrival_delay_min,departure_delay_min,travel_time_delta_min,source_month,service_day_of_week,service_day_offset,calendar_date,calendar_day_of_week,calendar_year_month,scheduled_clock_hour,time_period,is_morning_peak,is_evening_peak,schedule_lateness_min,route_baseline_delay_min,route_baseline_sample_size,baseline_reliable_flag,excess_late_tax_min,late_trip_flag,severe_delay_flag,calendar_year,calendar_month_number,calendar_month_name,calendar_quarter,route_time_key,segment_trips,segment_late_trip_pct,segment_avg_late_severity_min,segment_late_tax_share_pct,segment_reliability_segment,segment_priority_score,segment_priority_tier,segment_priority_rank,late_trip_label,severe_delay_label,sample_status
BA:1682586:20250630,2025-06-03,BA:Yellow-N,901902,08:15:00,08:16:11,901302,08:26:00,08:27:11,29700,29771.0,30360,30431.0,11.0,11.0,1.1833333333333331,1.1833333333333331,0.0,2025-06,Tuesday,0,2025-06-03,Tuesday,2025-06,8,Morning Peak,1,0,1.1833,1.4833,647,1,0.0,0,0,2025,6,June,Q2,BA:Yellow-N | Morning Peak,75,0.0,,0.44,Reliable,30.0,Monitor,10.0,Not Late,Not Severe,Eligible
BA:1682602:20250630,2025-06-03,BA:Yellow-N,901902,18:15:00,18:16:11,901302,18:26:00,18:27:11,65700,65771.0,66360,66431.0,11.0,11.0,1.1833333333333331,1.1833333333333331,0.0,2025-06,Tuesday,0,2025-06-03,Tuesday,2025-06,18,Evening Peak,0,1,1.1833,1.4833,647,1,0.0,0,0,2025,6,June,Q2,BA:Yellow-N | Evening Peak,72,0.0,,0.0,Reliable,15.0,Monitor,13.0,Not Late,Not Severe,Eligible
BA:1682604:20250630,2025-06-03,BA:Yellow-N,901902,18:55:00,18:56:11,901302,19:06:00,19:07:11,68100,68171.0,68760,68831.0,11.0,11.0,1.1833333333333331,1.1833333333333331,0.0,2025-06,Tuesday,0,2025-06-03,Tuesday,2025-06,18,Evening Peak,0,1,1.1833,1.4833,647,1,0.0,0,0,2025,6,June,Q2,BA:Yellow-N | Evening Peak,72,0.0,,0.0,Reliable,15.0,Monitor,13.0,Not Late,Not Severe,Eligible
BA:1683040:20250630,2025-06-04,BA:Blue-N,901901,09:48:00,09:48:48,901302,09:59:00,09:59:48,35280,35328.0,35940,35988.0,11.0,11.0,0.8,0.8,0.0,2025-06,Wednesday,0,2025-06-04,Wednesday,2025-06,9,Morning Peak,1,0,0.8,0.8167,479,1,0.0,0,0,2025,6,June,Q2,BA:Blue-N | Morning Peak,88,1.14,7.27,0.6,Chronic,47.86,P3 - Reliability Watch,9.0,Not Late,Not Severe,Eligible
BA:1683041:20250630,2025-06-04,BA:Blue-N,901901,10:08:00,10:08:48,901302,10:19:00,10:19:48,36480,36528.0,37140,37188.0,11.0,11.0,0.8,0.8,0.0,2025-06,Wednesday,0,2025-06-04,Wednesday,2025-06,10,Midday,0,0,0.8,0.8167,479,1,0.0,0,0,2025,6,June,Q2,BA:Blue-N | Midday,135,0.74,8.45,0.78,Acute,52.5,P3 - Reliability Watch,8.0,Not Late,Not Severe,Eligible
BA:1683042:20250630,2025-06-04,BA:Blue-N,901901,10:28:00,10:28:48,901302,10:39:00,10:39:48,37680,37728.0,38340,38388.0,11.0,11.0,0.8,0.8,0.0,2025-06,Wednesday,0,2025-06-04,Wednesday,2025-06,10,Midday,0,0,0.8,0.8167,479,1,0.0,0,0,2025,6,June,Q2,BA:Blue-N | Midday,135,0.74,8.45,0.78,Acute,52.5,P3 - Reliability Watch,8.0,Not Late,Not Severe,Eligible
BA:1683043:20250630,2025-06-04,BA:Blue-N,901901,10:48:00,10:48:48,901302,10:59:00,10:59:48,38880,38928.0,39540,39588.0,11.0,11.0,0.8,0.8,0.0,2025-06,Wednesday,0,2025-06-04,Wednesday,2025-06,10,Midday,0,0,0.8,0.8167,479,1,0.0,0,0,2025,6,June,Q2,BA:Blue-N | Midday,135,0.74,8.45,0.78,Acute,52.5,P3 - Reliability Watch,8.0,Not Late,Not Severe,Eligible
BA:1683044:20250630,2025-06-04,BA:Blue-N,901901,11:08:00,11:08:48,901302,11:19:00,11:19:48,40080,40128.0,40740,40788.0,11.0,11.0,0.8,0.8,0.0,2025-06,Wednesday,0,2025-06-04,Wednesday,2025-06,11,Midday,0,0,0.8,0.8167,479,1,0.0,0,0,2025,6,June,Q2,BA:Blue-N | Midday,135,0.74,8.45,0.78,Acute,52.5,P3 - Reliability Watch,8.0,Not Late,Not Severe,Eligible
BA:1683045:20250630,2025-06-04,BA:Blue-N,901901,11:28:00,11:28:48,901302,11:39:00,11:39:48,41280,41328.0,41940,41988.0,11.0,11.0,0.8,0.8,0.0,2025-06,Wednesday,0,2025-06-04,Wednesday,2025-06,11,Midday,0,0,0.8,0.8167,479,1,0.0,0,0,2025,6,June,Q2,BA:Blue-N | Midday,135,0.74,8.45,0.78,Acute,52.5,P3 - Reliability Watch,8.0,Not Late,Not Severe,Eligible
BA:1683046:20250630,2025-06-04,BA:Blue-N,901901,11:48:00,11:48:48,901302,11:59:00,11:59:48,42480,42528.0,43140,43188.0,11.0,11.0,0.8,0.8,0.0,2025-06,Wednesday,0,2025-06-04,Wednesday,2025-06,11,Midday,0,0,0.8,0.8167,479,1,0.0,0,0,2025,6,June,Q2,BA:Blue-N | Midday,135,0.74,8.45,0.78,Acute,52.5,P3 - Reliability Watch,8.0,Not Late,Not Severe,Eligible
