route_id,time_period,trips,late_trips,excess_late_tax_min,late_trip_pct,late_tax_share_pct,late_tax_rank,cumulative_late_tax_share_pct,pareto_80_flag,avg_late_severity_min,p90_lateness_min,reliability_segment,priority_eligible,burden_score,frequency_score,severity_score,priority_score,priority_tier,operational_priority_rank,route_time_key
BA:Yellow-N,Overnight,335,88,834.58,26.27,68.28,1,68.28,True,7.33,7.3,Chronic,True,100.0,100.0,71.43,95.71,P1 - Primary Hotspot,1.0,BA:Yellow-N | Overnight
BA:Green-N,Midday,266,12,128.42,4.51,10.51,2,78.78,True,10.34,1.12,Critical,True,92.86,85.71,92.86,91.07,P1 - Primary Hotspot,2.0,BA:Green-N | Midday
BA:Green-N,Overnight,181,5,70.72,2.76,5.79,3,84.57,True,7.14,2.65,Chronic,True,85.71,64.29,57.14,76.07,P1 - Primary Hotspot,3.0,BA:Green-N | Overnight
BA:Blue-N,Evening,103,3,62.62,2.91,5.12,4,89.69,False,5.87,2.08,Chronic,True,78.57,78.57,42.86,73.21,P2 - High Burden,4.0,BA:Blue-N | Evening
BA:Green-N,Evening Peak,76,4,37.3,5.26,3.05,5,92.74,False,9.22,1.29,Critical,True,71.43,92.86,85.71,78.93,P3 - Reliability Watch,5.0,BA:Green-N | Evening Peak
BA:Yellow-N,Evening,50,1,22.52,2.0,1.84,6,94.58,False,24.0,1.48,Critical,True,64.29,57.14,100.0,67.86,P3 - Reliability Watch,6.0,BA:Yellow-N | Evening
BA:Green-N,Morning Peak,142,4,22.17,2.82,1.81,7,96.4,False,6.27,1.12,Chronic,True,57.14,71.43,50.0,59.64,P3 - Reliability Watch,7.0,BA:Green-N | Morning Peak
BA:Blue-N,Midday,135,1,9.5,0.74,0.78,9,98.03,False,8.45,0.82,Acute,True,50.0,42.86,78.57,52.5,P3 - Reliability Watch,8.0,BA:Blue-N | Midday
BA:Blue-N,Morning Peak,88,1,7.38,1.14,0.6,11,99.29,False,7.27,0.82,Chronic,True,42.86,50.0,64.29,47.86,P3 - Reliability Watch,9.0,BA:Blue-N | Morning Peak
BA:Yellow-N,Morning Peak,75,0,5.33,0.0,0.44,12,99.72,False,,1.48,Reliable,True,35.71,21.43,21.43,30.0,Monitor,10.0,BA:Yellow-N | Morning Peak
BA:Blue-N,Evening Peak,89,0,1.4,0.0,0.11,13,99.84,False,,0.82,Reliable,True,25.0,21.43,21.43,23.57,Monitor,11.0,BA:Blue-N | Evening Peak
BA:Blue-N,Overnight,64,0,1.3,0.0,0.11,14,99.94,False,,0.82,Reliable,True,25.0,21.43,21.43,23.57,Monitor,12.0,BA:Blue-N | Overnight
BA:Yellow-N,Evening Peak,72,0,0.0,0.0,0.0,18,100.0,False,,1.48,Reliable,True,10.71,21.43,21.43,15.0,Monitor,13.0,BA:Yellow-N | Evening Peak
BA:Yellow-N,Midday,115,0,0.0,0.0,0.0,19,100.0,False,,1.48,Reliable,True,10.71,21.43,21.43,15.0,Monitor,14.0,BA:Yellow-N | Midday
BA:Green-N,Evening,15,1,10.45,6.67,0.85,8,97.25,False,11.22,1.33,Insufficient Sample,False,,,,,Insufficient Sample,,BA:Green-N | Evening
BA:Red-N,Morning Peak,3,1,8.0,33.33,0.65,10,98.68,False,11.9,10.34,Insufficient Sample,False,,,,,Insufficient Sample,,BA:Red-N | Morning Peak
BA:Red-N,Evening Peak,1,0,0.7,0.0,0.06,15,100.0,False,,4.7,Insufficient Sample,False,,,,,Insufficient Sample,,BA:Red-N | Evening Peak
BA:Red-N,Evening,1,0,0.0,0.0,0.0,16,100.0,False,,4.0,Insufficient Sample,False,,,,,Insufficient Sample,,BA:Red-N | Evening
BA:Red-N,Midday,2,0,0.0,0.0,0.0,17,100.0,False,,1.08,Insufficient Sample,False,,,,,Insufficient Sample,,BA:Red-N | Midday
