route_id,time_period,trips,late_trips,excess_late_tax_min,late_trip_pct,late_tax_share_pct,late_tax_rank,cumulative_late_tax_share_pct,pareto_80_flag
BA:Yellow-N,Overnight,335,88,834.58,26.27,68.28,1,68.28,True
BA:Green-N,Midday,266,12,128.42,4.51,10.51,2,78.78,True
BA:Green-N,Overnight,181,5,70.72,2.76,5.79,3,84.57,True
BA:Blue-N,Evening,103,3,62.62,2.91,5.12,4,89.69,False
BA:Green-N,Evening Peak,76,4,37.3,5.26,3.05,5,92.74,False
BA:Yellow-N,Evening,50,1,22.52,2.0,1.84,6,94.58,False
BA:Green-N,Morning Peak,142,4,22.17,2.82,1.81,7,96.4,False
BA:Green-N,Evening,15,1,10.45,6.67,0.85,8,97.25,False
BA:Blue-N,Midday,135,1,9.5,0.74,0.78,9,98.03,False
BA:Red-N,Morning Peak,3,1,8.0,33.33,0.65,10,98.68,False
BA:Blue-N,Morning Peak,88,1,7.38,1.14,0.6,11,99.29,False
BA:Yellow-N,Morning Peak,75,0,5.33,0.0,0.44,12,99.72,False
BA:Blue-N,Evening Peak,89,0,1.4,0.0,0.11,13,99.84,False
BA:Blue-N,Overnight,64,0,1.3,0.0,0.11,14,99.94,False
BA:Red-N,Evening Peak,1,0,0.7,0.0,0.06,15,100.0,False
BA:Red-N,Evening,1,0,0.0,0.0,0.0,16,100.0,False
BA:Red-N,Midday,2,0,0.0,0.0,0.0,17,100.0,False
BA:Yellow-N,Evening Peak,72,0,0.0,0.0,0.0,18,100.0,False
BA:Yellow-N,Midday,115,0,0.0,0.0,0.0,19,100.0,False
